model,cause,f_stat,p_value,significant
Beetroot — VAR(1),api_energy_and_lubricants,0.0228,1,FALSE
Beetroot — VAR(1),api_fertilisers_and_soil_improvers,0.019,1,FALSE
Beetroot — VAR(1),api_plant_protection_products,0.185,0.993,FALSE
Beetroot — VAR(1),api_fresh_fruit,0.1738,0.9944,FALSE
Beetroot — VAR(1),api_fresh_vegetables,0.2534,0.9801,FALSE
Beetroot — VAR(1),fuel_petrol_price,0.2034,0.9904,FALSE
Beetroot — VAR(1),fuel_diesel_price,0.1595,0.9958,FALSE
Beetroot — VAR(1),sppi_road_freight,0.1808,0.9935,FALSE
Bulb Onions (Red) — VAR(1),api_energy_and_lubricants,0.0588,0.9999,FALSE
Bulb Onions (Red) — VAR(1),api_fertilisers_and_soil_improvers,0.1003,0.9992,FALSE
Bulb Onions (Red) — VAR(1),api_plant_protection_products,0.2491,0.9812,FALSE
Bulb Onions (Red) — VAR(1),api_fresh_fruit,0.12,0.9985,FALSE
Bulb Onions (Red) — VAR(1),api_fresh_vegetables,0.0818,0.9996,FALSE
Bulb Onions (Red) — VAR(1),fuel_petrol_price,0.0355,1,FALSE
Bulb Onions (Red) — VAR(1),fuel_diesel_price,0.0248,1,FALSE
Bulb Onions (Red) — VAR(1),sppi_road_freight,0.0398,1,FALSE
Bulb Onions (Yellow) — VAR(1),api_energy_and_lubricants,0.059,0.9999,FALSE
Bulb Onions (Yellow) — VAR(1),api_fertilisers_and_soil_improvers,0.1402,0.9974,FALSE
Bulb Onions (Yellow) — VAR(1),api_plant_protection_products,0.2415,0.983,FALSE
Bulb Onions (Yellow) — VAR(1),api_fresh_fruit,0.0567,0.9999,FALSE
Bulb Onions (Yellow) — VAR(1),api_fresh_vegetables,0.0579,0.9999,FALSE
Bulb Onions (Yellow) — VAR(1),fuel_petrol_price,0.0486,0.9999,FALSE
Bulb Onions (Yellow) — VAR(1),fuel_diesel_price,0.0109,1,FALSE
Bulb Onions (Yellow) — VAR(1),sppi_road_freight,0.1032,0.9991,FALSE
Cabbage — VAR(1),api_energy_and_lubricants,0.043,1,FALSE
Cabbage — VAR(1),api_fertilisers_and_soil_improvers,0.0838,0.9996,FALSE
Cabbage — VAR(1),api_plant_protection_products,0.1795,0.9937,FALSE
Cabbage — VAR(1),api_fresh_fruit,0.0553,0.9999,FALSE
Cabbage — VAR(1),api_fresh_vegetables,0.006,1,FALSE
Cabbage — VAR(1),fuel_petrol_price,0.0266,1,FALSE
Cabbage — VAR(1),fuel_diesel_price,0.0131,1,FALSE
Cabbage — VAR(1),sppi_road_freight,0.1011,0.9992,FALSE
Carrots — VAR(1),api_energy_and_lubricants,0.2824,0.972,FALSE
Carrots — VAR(1),api_fertilisers_and_soil_improvers,0.1647,0.9953,FALSE
Carrots — VAR(1),api_plant_protection_products,0.2444,0.9823,FALSE
Carrots — VAR(1),api_fresh_fruit,0.1897,0.9924,FALSE
Carrots — VAR(1),api_fresh_vegetables,0.2133,0.9887,FALSE
Carrots — VAR(1),fuel_petrol_price,0.071,0.9998,FALSE
Carrots — VAR(1),fuel_diesel_price,0.0612,0.9999,FALSE
Carrots — VAR(1),sppi_road_freight,0.0405,1,FALSE
Cooking Apples — VAR(1),api_energy_and_lubricants,0.078,0.9997,FALSE
Cooking Apples — VAR(1),api_fertilisers_and_soil_improvers,0.051,0.9999,FALSE
Cooking Apples — VAR(1),api_plant_protection_products,0.1824,0.9933,FALSE
Cooking Apples — VAR(1),api_fresh_fruit,0.0378,1,FALSE
Cooking Apples — VAR(1),api_fresh_vegetables,0.0101,1,FALSE
Cooking Apples — VAR(1),fuel_petrol_price,0.0238,1,FALSE
Cooking Apples — VAR(1),fuel_diesel_price,0.0184,1,FALSE
Cooking Apples — VAR(1),sppi_road_freight,0.0529,0.9999,FALSE
Leeks — VAR(1),api_energy_and_lubricants,0.0266,1,FALSE
Leeks — VAR(1),api_fertilisers_and_soil_improvers,0.0104,1,FALSE
Leeks — VAR(1),api_plant_protection_products,0.1452,0.997,FALSE
Leeks — VAR(1),api_fresh_fruit,1.0137,0.4231,FALSE
Leeks — VAR(1),api_fresh_vegetables,0.0165,1,FALSE
Leeks — VAR(1),fuel_petrol_price,0.5902,0.7868,FALSE
Leeks — VAR(1),fuel_diesel_price,0.5309,0.8341,FALSE
Leeks — VAR(1),sppi_road_freight,0.0395,1,FALSE
Lettuce — VAR(1),api_energy_and_lubricants,0.0256,1,FALSE
Lettuce — VAR(1),api_fertilisers_and_soil_improvers,0.0083,1,FALSE
Lettuce — VAR(1),api_plant_protection_products,0.245,0.9822,FALSE
Lettuce — VAR(1),api_fresh_fruit,0.0392,1,FALSE
Lettuce — VAR(1),api_fresh_vegetables,0.7251,0.6695,FALSE
Lettuce — VAR(1),fuel_petrol_price,0.0178,1,FALSE
Lettuce — VAR(1),fuel_diesel_price,0.0864,0.9995,FALSE
Lettuce — VAR(1),sppi_road_freight,0.0394,1,FALSE
Pears — VAR(1),api_energy_and_lubricants,0.8785,0.5338,FALSE
Pears — VAR(1),api_fertilisers_and_soil_improvers,0.3942,0.9242,FALSE
Pears — VAR(1),api_plant_protection_products,0.2563,0.9794,FALSE
Pears — VAR(1),api_fresh_fruit,0.6216,0.7604,FALSE
Pears — VAR(1),api_fresh_vegetables,0.0255,1,FALSE
Pears — VAR(1),fuel_petrol_price,0.1441,0.9971,FALSE
Pears — VAR(1),fuel_diesel_price,0.0448,1,FALSE
Pears — VAR(1),sppi_road_freight,0.0351,1,FALSE
Dessert Apples — VAR(1),api_energy_and_lubricants,0.1789,0.9938,FALSE
Dessert Apples — VAR(1),api_fertilisers_and_soil_improvers,0.1752,0.9942,FALSE
Dessert Apples — VAR(1),api_plant_protection_products,0.1951,0.9916,FALSE
Dessert Apples — VAR(1),api_fresh_fruit,0.0143,1,FALSE
Dessert Apples — VAR(1),api_fresh_vegetables,0.0938,0.9994,FALSE
Dessert Apples — VAR(1),fuel_petrol_price,0.0181,1,FALSE
Dessert Apples — VAR(1),fuel_diesel_price,0.0252,1,FALSE
Dessert Apples — VAR(1),sppi_road_freight,0.482,0.8698,FALSE
Cucumbers — VAR(1),api_energy_and_lubricants,0.0301,1,FALSE
Cucumbers — VAR(1),api_fertilisers_and_soil_improvers,0.0093,1,FALSE
Cucumbers — VAR(1),api_plant_protection_products,0.2424,0.9828,FALSE
Cucumbers — VAR(1),api_fresh_fruit,0.0511,0.9999,FALSE
Cucumbers — VAR(1),api_fresh_vegetables,0.0238,1,FALSE
Cucumbers — VAR(1),fuel_petrol_price,0.1943,0.9917,FALSE
Cucumbers — VAR(1),fuel_diesel_price,0.165,0.9953,FALSE
Cucumbers — VAR(1),sppi_road_freight,0.0655,0.9998,FALSE
Strawberries — VAR(1),api_energy_and_lubricants,0.0553,0.9999,FALSE
Strawberries — VAR(1),api_fertilisers_and_soil_improvers,0.0385,1,FALSE
Strawberries — VAR(1),api_plant_protection_products,0.3089,0.963,FALSE
Strawberries — VAR(1),api_fresh_fruit,0.099,0.9993,FALSE
Strawberries — VAR(1),api_fresh_vegetables,0.1434,0.9971,FALSE
Strawberries — VAR(1),fuel_petrol_price,0.0222,1,FALSE
Strawberries — VAR(1),fuel_diesel_price,0.0408,1,FALSE
Strawberries — VAR(1),sppi_road_freight,21.2657,0,TRUE
Tomatoes (Round) — VAR(1),api_energy_and_lubricants,0.0592,0.9999,FALSE
Tomatoes (Round) — VAR(1),api_fertilisers_and_soil_improvers,0.1118,0.9988,FALSE
Tomatoes (Round) — VAR(1),api_plant_protection_products,0.1479,0.9968,FALSE
Tomatoes (Round) — VAR(1),api_fresh_fruit,0.0309,1,FALSE
Tomatoes (Round) — VAR(1),api_fresh_vegetables,0.0082,1,FALSE
Tomatoes (Round) — VAR(1),fuel_petrol_price,0.0262,1,FALSE
Tomatoes (Round) — VAR(1),fuel_diesel_price,0.0243,1,FALSE
Tomatoes (Round) — VAR(1),sppi_road_freight,0.1065,0.999,FALSE
Tomatoes (Vine) — VAR(1),api_energy_and_lubricants,0.3665,0.9384,FALSE
Tomatoes (Vine) — VAR(1),api_fertilisers_and_soil_improvers,0.1428,0.9972,FALSE
Tomatoes (Vine) — VAR(1),api_plant_protection_products,0.2332,0.9848,FALSE
Tomatoes (Vine) — VAR(1),api_fresh_fruit,0.052,0.9999,FALSE
Tomatoes (Vine) — VAR(1),api_fresh_vegetables,0.0479,1,FALSE
Tomatoes (Vine) — VAR(1),fuel_petrol_price,0.2246,0.9866,FALSE
Tomatoes (Vine) — VAR(1),fuel_diesel_price,0.2074,0.9897,FALSE
Tomatoes (Vine) — VAR(1),sppi_road_freight,0.0599,0.9999,FALSE
Asparagus — VAR(1),api_energy_and_lubricants,0.2901,0.9694,FALSE
Asparagus — VAR(1),api_fertilisers_and_soil_improvers,0.8354,0.5714,FALSE
Asparagus — VAR(1),api_plant_protection_products,1.271,0.255,FALSE
Asparagus — VAR(1),api_fresh_fruit,0.6737,0.715,FALSE
Asparagus — VAR(1),api_fresh_vegetables,2.1621,0.0282,TRUE
Asparagus — VAR(1),fuel_petrol_price,2.5502,0.0094,TRUE
Asparagus — VAR(1),fuel_diesel_price,4.0558,1e-4,TRUE
Asparagus — VAR(1),sppi_road_freight,53.4681,0,TRUE
Capsicums (Red) — VAR(1),api_energy_and_lubricants,0.1096,0.9989,FALSE
Capsicums (Red) — VAR(1),api_fertilisers_and_soil_improvers,0.1804,0.9936,FALSE
Capsicums (Red) — VAR(1),api_plant_protection_products,0.131,0.9979,FALSE
Capsicums (Red) — VAR(1),api_fresh_fruit,0.0132,1,FALSE
Capsicums (Red) — VAR(1),api_fresh_vegetables,0.6915,0.6994,FALSE
Capsicums (Red) — VAR(1),fuel_petrol_price,0.1906,0.9922,FALSE
Capsicums (Red) — VAR(1),fuel_diesel_price,0.1019,0.9992,FALSE
Capsicums (Red) — VAR(1),sppi_road_freight,0.1519,0.9965,FALSE
Capsicums (Green) — VAR(1),api_energy_and_lubricants,1.3356,0.2218,FALSE
Capsicums (Green) — VAR(1),api_fertilisers_and_soil_improvers,8.6377,0,TRUE
Capsicums (Green) — VAR(1),api_plant_protection_products,0.7954,0.6068,FALSE
Capsicums (Green) — VAR(1),api_fresh_fruit,1.2983,0.2405,FALSE
Capsicums (Green) — VAR(1),api_fresh_vegetables,1.7969,0.074,FALSE
Capsicums (Green) — VAR(1),fuel_petrol_price,1.0803,0.3744,FALSE
Capsicums (Green) — VAR(1),fuel_diesel_price,1.207,0.2914,FALSE
Capsicums (Green) — VAR(1),sppi_road_freight,29.193,0,TRUE
Curly kale — VAR(1),api_energy_and_lubricants,0.6181,0.7633,FALSE
Curly kale — VAR(1),api_fertilisers_and_soil_improvers,0.4748,0.8747,FALSE
Curly kale — VAR(1),api_plant_protection_products,0.0884,0.9995,FALSE
Curly kale — VAR(1),api_fresh_fruit,0.0127,1,FALSE
Curly kale — VAR(1),api_fresh_vegetables,0.4177,0.911,FALSE
Curly kale — VAR(1),fuel_petrol_price,0.0832,0.9996,FALSE
Curly kale — VAR(1),fuel_diesel_price,0.0453,1,FALSE
Curly kale — VAR(1),sppi_road_freight,0.0479,1,FALSE
Pak choi — VAR(1),api_energy_and_lubricants,0.2193,0.9876,FALSE
Pak choi — VAR(1),api_fertilisers_and_soil_improvers,0.0563,0.9999,FALSE
Pak choi — VAR(1),api_plant_protection_products,0.0324,1,FALSE
Pak choi — VAR(1),api_fresh_fruit,0.0826,0.9996,FALSE
Pak choi — VAR(1),api_fresh_vegetables,0.0136,1,FALSE
Pak choi — VAR(1),fuel_petrol_price,0.0438,1,FALSE
Pak choi — VAR(1),fuel_diesel_price,0.0705,0.9998,FALSE
Pak choi — VAR(1),sppi_road_freight,0.0587,0.9999,FALSE
Spring greens — VAR(1),api_energy_and_lubricants,0.0468,1,FALSE
Spring greens — VAR(1),api_fertilisers_and_soil_improvers,0.0057,1,FALSE
Spring greens — VAR(1),api_plant_protection_products,0.0388,1,FALSE
Spring greens — VAR(1),api_fresh_fruit,0.0303,1,FALSE
Spring greens — VAR(1),api_fresh_vegetables,0.0367,1,FALSE
Spring greens — VAR(1),fuel_petrol_price,0.0148,1,FALSE
Spring greens — VAR(1),fuel_diesel_price,0.0383,1,FALSE
Spring greens — VAR(1),sppi_road_freight,0.0557,0.9999,FALSE
